Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0021-0242-0224,Oval,214,232,20,20,44,none,none,0,21,0,21,0
1,0008-0070-0390,Oval,380,60,20,20,44,none,none,0,8,0,8,0
2,0023-0268-0146,Oval,136,258,20,20,44,none,none,0,23,0,23,0
3,0022-0247-0209,Oval,199,237,20,20,44,none,none,0,22,0,22,0
4,0018-0137-0346,Oval,336,127,20,20,44,none,none,0,18,0,18,0
