Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0004-0260-0285,Oval,275,250,20,20,44,none,none,0,4,0,4,0
1,0020-0046-0113,Oval,103,36,20,20,44,none,none,0,20,0,20,0
2,0025-0031-0059,Oval,49,21,20,20,44,none,none,0,25,0,25,0
3,0003-0266-0276,Oval,266,256,20,20,44,none,none,0,3,0,3,0
4,0016-0298-0197,Oval,187,288,20,20,44,none,none,0,16,0,16,0
