Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0023-0237-0210,Oval,200,227,20,20,44,none,none,0,23,0,23,0
1,0016-0248-0213,Oval,203,238,20,20,44,none,none,0,16,0,16,0
2,0008-0278-0152,Oval,142,268,20,20,44,none,none,0,8,0,8,0
3,0005-0090-0361,Oval,351,80,20,20,44,none,none,0,5,0,5,0
4,0024-0222-0231,Oval,221,212,20,20,44,none,none,0,24,0,24,0
