Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0019-0195-0236,Oval,226,185,20,20,44,none,none,0,19,0,19,0
1,0020-0124-0287,Oval,277,114,20,20,44,none,none,0,20,0,20,0
2,0007-0141-0122,Oval,112,131,20,20,44,none,none,0,7,0,7,0
3,0008-0199-0148,Oval,138,189,20,20,44,none,none,0,8,0,8,0
4,0013-0195-0236,Oval,226,185,20,20,44,none,none,0,13,0,13,0
