Gaussian_A,Gaussian_B,SNR,CNR
0,1,10.77473805094167,26.50917256336972
0,2,5.006736258825167,42.423464084322
1,0,50.142828094083576,26.50917256336972
1,2,21.91866279013104,26.65083428476536
2,0,117.37209199087087,42.423464084322
2,1,110.41347585380065,26.65083428476536
