Gaussian_A,Gaussian_B,SNR,CNR
0,1,5.333333333333333,11.714244722207434
0,2,2.0,16.9489106956905
1,0,20.0,11.714244722207434
1,2,8.75,11.001867836436274
2,0,46.857142857142854,16.9489106956905
2,1,54.666666666666664,11.001867836436274
