Gaussian_A,Gaussian_B,P1_SNR,P1_CNR,P2_SNR,P2_CNR,P3_SNR,P3_CNR,P4_SNR,P4_CNR,P5_SNR,P5_CNR,P6_SNR,P6_CNR
0.0,1.0,13.333333333333332,29.285611805518577,6.666666666666666,14.642805902759289,2.6666666666666665,5.857122361103717,1.3333333333333333,2.9285611805518585,0.6666666666666666,1.4642805902759293,0.3333333333333333,0.7321402951379646
0.0,2.0,5.0,42.372276739226244,2.5,21.186138369613122,1.0,8.47445534784525,0.5,4.237227673922625,0.25,2.1186138369613126,0.125,1.0593069184806563
1.0,0.0,49.99999999999999,29.285611805518577,24.999999999999996,14.642805902759289,10.0,5.857122361103717,5.0,2.9285611805518585,2.5,1.4642805902759293,1.25,0.7321402951379646
1.0,2.0,21.875,27.50466959109068,10.9375,13.75233479554534,4.375,5.500933918218137,2.1875,2.7504669591090685,1.09375,1.3752334795545342,0.546875,0.6876167397772671
2.0,0.0,117.14285714285714,42.372276739226244,58.57142857142857,21.186138369613122,23.428571428571427,8.47445534784525,11.714285714285714,4.237227673922625,5.857142857142857,2.1186138369613126,2.9285714285714284,1.0593069184806563
2.0,1.0,136.66666666666666,27.50466959109068,68.33333333333333,13.75233479554534,27.333333333333332,5.500933918218137,13.666666666666666,2.7504669591090685,6.833333333333333,1.3752334795545342,3.4166666666666665,0.6876167397772671
