Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0020-0195-0236,Oval,226,185,20,20,44,none,none,0,20,0,20,0
1,0009-0195-0236,Oval,226,185,20,20,44,none,none,0,9,0,9,0
2,0005-0195-0236,Oval,226,185,20,20,44,none,none,0,5,0,5,0
3,0018-0195-0236,Oval,226,185,20,20,44,none,none,0,18,0,18,0
4,0012-0195-0236,Oval,226,185,20,20,44,none,none,0,12,0,12,0
