Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0014-0312-0179,Oval,169,302,20,20,44,none,none,0,14,0,14,0
1,0020-0047-0075,Oval,65,37,20,20,44,none,none,0,20,0,20,0
2,0011-0295-0233,Oval,223,285,20,20,44,none,none,0,11,0,11,0
3,0005-0272-0285,Oval,275,262,20,20,44,none,none,0,5,0,5,0
4,0017-0007-0243,Oval,233,-3,20,20,44,none,none,0,17,0,17,0
