Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0023-0121-0212,Oval,202,111,20,20,44,none,none,0,23,0,23,0
1,0006-0195-0236,Oval,226,185,20,20,44,none,none,0,6,0,6,0
2,0009-0222-0352,Oval,342,212,20,20,44,none,none,0,9,0,9,0
3,0007-0178-0151,Oval,141,168,20,20,44,none,none,0,7,0,7,0
4,0003-0113-0254,Oval,244,103,20,20,44,none,none,0,3,0,3,0
