Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0018-0249-0212,Oval,202,239,20,20,44,none,none,0,18,0,18,0
1,0013-0285-0130,Oval,120,275,20,20,44,none,none,0,13,0,13,0
2,0024-0105-0322,Oval,312,95,20,20,44,none,none,0,24,0,24,0
3,0008-0275-0148,Oval,138,265,20,20,44,none,none,0,8,0,8,0
4,0016-0108-0357,Oval,347,98,20,20,44,none,none,0,16,0,16,0
